sn,fault_time,fault_code
SERVER_25731,2020-09-23 11:07:53,cpu1.m2m1.cod2.0x1
SERVER_2102,2020-09-20 21:01:53,cpu0.cha0.cod2.0xc
SERVER_2249,2020-10-22 18:22:53,cpu0.cha22.cod2.0xc
SERVER_2253,2020-09-24 15:54:54,cpu0.m2m1.cod2.0x1
SERVER_2253,2020-09-24 20:53:54,cpu0.m2m1.cod2.0x1
SERVER_2621,2020-09-24 22:31:53,cpu0.cha16.cod2.0xc
SERVER_2764,2020-10-12 03:47:53,cpu1.m2m0.cod2.0x1
SERVER_2764,2020-10-28 23:16:54,cpu1.m2m0.cod2.0x1
SERVER_3143,2020-08-28 06:13:53,cpu0.m2m1.cod2.0x1
SERVER_3350,2020-10-08 13:49:53,cpu0.m2m1.cod2.0x1
SERVER_3352,2020-09-06 00:47:54,cpu0.m2m1.cod2.0x1
SERVER_3434,2020-11-13 21:35:54,cpu0.mergedcha0.cod2.0xc
SERVER_3668,2020-11-11 13:35:53,cpu1.m2m0.cod2.0x1
SERVER_3939,2020-11-13 05:57:54,cpu0.pcu.cod2.0x5c
SERVER_4046,2020-09-22 11:42:54,cpu1.m2m1.cod2.0x1
SERVER_4317,2020-08-29 14:31:53,cpu0.cha4.cod2.0xc
SERVER_4360,2020-11-07 14:46:54,cpu0.cha8.cod2.0xc
SERVER_25785,2020-10-07 10:24:54,cpu0.cha23.cod2.0x13
SERVER_25787,2020-11-25 14:55:58,cpu0.cha8.cod2.0xc
SERVER_4416,2020-11-24 15:54:01,cpu0.m2m0.cod2.0x1
SERVER_4754,2020-09-01 18:47:54,cpu0.cha21.cod2.0xc
SERVER_5054,2020-11-10 09:59:54,cpu1.cha25.cod2.0xf
SERVER_5105,2020-10-16 15:20:54,cpu1.cha21.cod2.0xc
SERVER_5147,2020-09-02 07:29:53,cpu1.cha21.cod2.0xc
SERVER_5151,2020-11-19 18:13:58,cpu1.cha12.cod2.0xc
SERVER_25839,2020-10-22 14:26:53,cpu1.cha0.cod2.0xc
SERVER_5223,2020-09-25 13:47:54,cpu0.cha3.cod2.0xc
SERVER_5224,2020-10-06 15:19:54,cpu0.cha3.cod2.0xc
SERVER_5365,2020-10-09 16:48:54,cpu1.cha0.cod2.0xc
SERVER_5633,2020-10-19 21:13:53,cpu0.cha12.cod2.0xc
SERVER_25997,2020-10-20 10:54:53,cpu1.cha10.cod2.0xc
SERVER_26017,2020-11-10 09:24:53,cpu0.cha10.cod2.0xc
SERVER_7134,2020-11-14 15:16:54,cpu0.m2m1.cod2.0x1
SERVER_7141,2020-09-13 08:20:53,cpu1.cha1.cod2.0xc
SERVER_7141,2020-09-25 12:50:53,cpu0.cha9.cod2.0xc
SERVER_7259,2020-10-03 18:37:54,cpu0.cha20.cod2.0xc
SERVER_26175,2020-11-20 13:42:03,cpu1.cha29.cod2.0xc
SERVER_7298,2020-10-16 19:43:54,cpu0.core6.cod1.0x000f0150
SERVER_7311,2020-09-10 14:31:53,cpu1.core0.cod1.0x00800400
SERVER_7314,2020-10-02 16:36:53,cpu1.m2m0.cod2.0x1
SERVER_7469,2020-10-05 02:39:54,cpu1.cha25.cod2.0xf
SERVER_7629,2020-08-27 12:47:53,cpu1.m2m0.cod2.0x1
SERVER_7629,2020-08-30 01:45:53,cpu1.m2m0.cod2.0x1
SERVER_7629,2020-09-05 22:49:53,cpu1.m2m0.cod2.0x1
SERVER_7629,2020-11-07 00:27:54,cpu1.m2m0.cod2.0x1
SERVER_7629,2020-11-22 21:00:08,cpu1.m2m0.cod2.0x1
SERVER_7671,2020-09-24 11:13:54,cpu1.core7.cod1.0x00000005
SERVER_7671,2020-09-24 23:22:53,cpu1.core7.cod1.0x00000005
SERVER_26280,2020-10-08 14:09:53,cpu1.core3.cod1.0x00000005
SERVER_8174,2020-11-02 02:48:54,cpu0.m2m0.cod2.0x1
SERVER_26326,2020-08-27 13:19:54,cpu0.cha2.cod2.0xc
SERVER_8416,2020-09-24 05:47:54,cpu0.cha0.cod2.0xc
SERVER_8622,2020-10-04 09:55:54,cpu1.cha21.cod2.0x4
SERVER_8797,2020-10-26 16:45:54,cpu0.m2m0.cod2.0x1
SERVER_8836,2020-11-11 07:43:54,cpu1.core25.cod1.0x00000114
SERVER_8962,2020-10-17 03:01:53,cpu0.cha21.cod2.0xc
SERVER_9041,2020-08-31 11:45:54,cpu0.m2m0.cod2.0x1
SERVER_26492,2020-11-25 11:03:00,cpu0.m2m0.cod2.0x20
SERVER_9634,2020-11-17 06:17:54,cpu1.m2m0.cod2.0x1
SERVER_9678,2020-10-23 19:02:54,cpu0.m2m0.cod2.0x4
SERVER_10448,2020-09-18 20:17:54,cpu0.cha21.cod2.0xc
SERVER_10448,2020-09-23 18:11:54,cpu0.cha0.cod2.0xc
SERVER_10473,2020-10-07 07:03:54,cpu1.core0.cod1.0x00800400
SERVER_10478,2020-09-18 16:43:54,cpu1.cha21.cod2.0xc
SERVER_10530,2020-10-24 15:46:53,cpu0.cha23.cod2.0xc
SERVER_10530,2020-10-30 17:46:54,cpu1.upi2.cod2.0x11
SERVER_10530,2020-11-11 15:35:54,cpu0.cha0.cod2.0xc
SERVER_11047,2020-10-31 04:46:54,cpu1.m2m1.cod2.0x1
SERVER_11397,2020-10-14 20:42:54,cpu1.m2m1.cod2.0x1
SERVER_11400,2020-09-21 12:42:53,cpu0.cha4.cod2.0xc
SERVER_11722,2020-10-02 05:27:53,cpu0.m2m0.cod2.0x1
SERVER_11762,2020-10-17 19:59:54,cpu0.cha15.cod2.0xc
SERVER_11801,2020-11-12 17:53:54,cpu1.m2m0.cod2.0x1
SERVER_11802,2020-09-18 17:55:53,cpu1.m2m0.cod2.0x1
SERVER_11812,2020-10-10 16:44:54,cpu0.m2m1.cod2.0x1
SERVER_11817,2020-10-25 01:25:53,cpu0.m2m1.cod2.0x1
SERVER_11923,2020-09-08 17:47:53,cpu1.core7.cod1.0x00800400
SERVER_11923,2020-10-20 17:46:53,cpu1.cha3.cod2.0xf
SERVER_11923,2020-10-22 14:06:54,cpu1.core3.cod1.0x00800400
SERVER_11929,2020-11-04 21:57:54,cpu1.m2m1.cod2.0x1
SERVER_11929,2020-11-12 17:56:54,cpu0.m2m0.cod2.0x1
SERVER_12101,2020-10-09 23:15:54,cpu1.m2m0.cod2.0x1
SERVER_12103,2020-10-09 23:44:54,cpu0.core0.cod1.0x00000006
SERVER_12105,2020-08-29 17:43:54,cpu0.m2m1.cod2.0x1
SERVER_12123,2020-10-17 09:08:53,cpu0.core0.cod1.0x00000006
SERVER_12137,2020-11-20 11:56:57,cpu0.cha10.cod2.0xc
SERVER_12149,2020-10-11 17:43:54,cpu0.core0.cod1.0x00000006
SERVER_12229,2020-11-19 19:54:00,cpu1.m2m1.cod2.0x1
SERVER_12465,2020-11-02 08:21:53,cpu1.pcu.cod2.0x4b
SERVER_12497,2020-11-11 09:25:54,cpu1.m2m0.cod2.0x1
SERVER_12512,2020-10-05 06:16:54,cpu1.m2m1.cod2.0x1
SERVER_12530,2020-10-24 01:35:53,cpu0.m2m0.cod2.0x1
SERVER_12648,2020-11-07 15:52:54,cpu0.m2m1.cod2.0x1
SERVER_12655,2020-11-03 08:21:54,cpu1.cha6.cod2.0xc
SERVER_13281,2020-11-03 04:37:55,cpu0.m2m0.cod2.0x1
SERVER_13295,2020-11-04 06:27:55,cpu0.pcu.cod2.0x51
SERVER_13298,2020-11-03 10:58:54,cpu0.m2m1.cod2.0x1
SERVER_13343,2020-10-26 22:54:53,cpu0.cha0.cod2.0xc
SERVER_13442,2020-11-05 07:37:53,cpu1.cha7.cod2.0xc
SERVER_13446,2020-10-04 21:08:53,cpu0.cha3.cod2.0xc
SERVER_13446,2020-11-02 18:11:53,cpu0.cha0.cod2.0xc
SERVER_13498,2020-11-17 10:56:53,cpu0.m2m0.cod2.0x1
SERVER_26671,2020-11-06 20:55:53,cpu0.m2m0.cod2.0x1
SERVER_13536,2020-10-12 11:12:54,cpu0.m2m0.cod2.0x1
SERVER_14405,2020-10-14 18:55:54,cpu1.m2m1.cod2.0x1
SERVER_14529,2020-10-03 11:29:53,cpu0.cha5.cod2.0xc
SERVER_14650,2020-10-25 17:41:54,cpu1.mergedcha0.cod2.0xc
SERVER_14900,2020-09-24 18:47:53,cpu1.m2m1.cod2.0x1
SERVER_14954,2020-09-20 19:26:53,cpu0.cha0.cod2.0xc
SERVER_14963,2020-08-28 19:59:54,cpu1.cha17.cod2.0xc
SERVER_15155,2020-09-09 18:47:54,cpu1.m2m1.cod2.0x1
SERVER_15291,2020-11-12 18:01:54,cpu1.pcu.cod2.0x5c
SERVER_15291,2020-11-25 22:49:59,cpu1.pcu.cod2.0x25
SERVER_26721,2020-10-14 07:44:53,cpu0.mergedcha0.cod2.0xc
SERVER_26724,2020-10-20 03:06:53,cpu1.core0.cod1.0x00020005
SERVER_15613,2020-09-20 13:16:54,cpu0.cha23.cod2.0xc
SERVER_15613,2020-10-17 15:17:55,cpu0.cha23.cod2.0xc
SERVER_15613,2020-10-23 20:45:54,cpu0.cha23.cod2.0xc
SERVER_15694,2020-11-20 23:13:56,cpu1.core14.cod1.0x00000005
SERVER_26735,2020-11-02 00:58:54,cpu1.imc1chn0.cod2.0x2
SERVER_16130,2020-10-11 10:37:54,cpu0.cha21.cod2.0xc
SERVER_16701,2020-09-21 03:45:53,cpu1.m2m0.cod2.0x1
SERVER_17079,2020-11-12 05:24:54,cpu1.cha0.cod2.0xc
SERVER_17248,2020-09-22 13:51:53,cpu1.mergedcha0.cod2.0xc
SERVER_17470,2020-11-11 12:50:54,cpu1.m2m1.cod2.0x1
SERVER_17473,2020-09-09 19:11:53,cpu0.cha25.cod2.0xf
SERVER_17548,2020-11-03 06:20:54,cpu1.pcu.cod2.0x52
SERVER_17551,2020-11-18 17:42:54,cpu0.cha7.cod2.0xc
SERVER_17552,2020-09-09 10:03:54,cpu0.cha17.cod2.0xc
SERVER_17563,2020-09-19 04:19:53,cpu1.m2m0.cod2.0x1
SERVER_17569,2020-11-21 14:51:58,cpu1.core3.cod1.0x000f0150
SERVER_17574,2020-10-05 05:45:53,cpu0.cha7.cod2.0xc
SERVER_17577,2020-11-21 14:27:59,cpu1.pcu.cod2.0x3e
SERVER_17580,2020-10-19 16:58:54,cpu0.cha0.cod2.0xc
SERVER_17615,2020-10-07 01:48:54,cpu1.core39.cod1.0x00000005
SERVER_18092,2020-10-02 11:16:54,cpu0.cha16.cod2.0xc
SERVER_18570,2020-11-17 19:59:58,cpu1.m2m0.cod2.0x1
SERVER_19084,2020-08-31 16:31:53,cpu1.core1.cod1.0x00400005
SERVER_19085,2020-10-03 13:38:54,cpu0.m2m1.cod2.0x1
SERVER_19598,2020-09-04 06:17:54,cpu0.m2m0.cod2.0x1
SERVER_19642,2020-11-08 01:48:53,cpu0.core6.cod1.0x00100134
SERVER_19840,2020-10-31 07:54:54,cpu0.m2m0.cod2.0x1
SERVER_19874,2020-10-11 06:16:53,cpu0.m2m0.cod2.0x1
SERVER_19885,2020-10-31 20:20:54,cpu0.cha2.cod2.0xc
SERVER_20188,2020-11-06 05:08:53,cpu1.m2m0.cod2.0x1
SERVER_20285,2020-10-10 20:29:54,cpu1.cha21.cod2.0xc
SERVER_20355,2020-11-01 03:41:54,cpu1.upi0.cod2.0x1f
SERVER_20404,2020-09-26 00:42:54,cpu0.cha7.cod2.0xc
SERVER_20439,2020-10-14 03:43:53,cpu0.m2m1.cod2.0x1
SERVER_20475,2020-11-12 12:05:54,cpu0.cha7.cod2.0xc
SERVER_20509,2020-11-08 22:28:54,cpu1.core0.cod1.0x00400005
SERVER_20548,2020-10-31 18:03:53,cpu1.cha14.cod2.0xc
SERVER_20588,2020-09-11 19:47:54,cpu0.m2m1.cod2.0x1
SERVER_27112,2020-10-16 11:27:55,cpu0.core5.cod1.0x00400005
SERVER_22790,2020-09-13 05:45:54,cpu0.imc0chn0.cod2.0x2
SERVER_22842,2020-10-31 16:43:53,cpu1.cha1.cod2.0xc
SERVER_22842,2020-11-11 06:35:54,cpu1.cha24.cod2.0xc
SERVER_22888,2020-09-23 16:27:53,cpu0.cha21.cod2.0xc
SERVER_22957,2020-11-19 20:56:56,cpu1.cha21.cod2.0xc
SERVER_22981,2020-11-16 07:18:54,cpu0.mergedcha0.cod2.0xc
SERVER_23000,2020-10-27 10:58:53,cpu1.core14.cod1.0x00100134
SERVER_23130,2020-08-31 03:43:54,cpu0.core0.cod1.0x00400005
SERVER_23231,2020-11-13 19:22:54,cpu0.m2m1.cod2.0x1
SERVER_24702,2020-10-17 09:41:54,cpu1.pcu.cod2.0x52
SERVER_24800,2020-10-13 15:24:53,cpu0.cha16.cod2.0xc
SERVER_25069,2020-10-29 17:35:53,cpu1.m2m1.cod2.0x20
SERVER_25526,2020-08-30 22:51:54,cpu1.m2m0.cod2.0x1
SERVER_25536,2020-10-01 03:18:54,cpu0.cha6.cod2.0xc
SERVER_1539,2020-09-05 14:31:54,cpu1.cha2.cod2.0xc
SERVER_2105,2020-10-14 03:46:54,cpu0.cha0.cod2.0xc
SERVER_3359,2020-11-14 06:47:54,cpu0.cha6.cod2.0xc
SERVER_4736,2020-09-07 07:19:53,cpu0.m2m1.cod2.0x1
SERVER_5018,2020-08-28 20:15:53,cpu1.m2m1.cod2.0x1
SERVER_25860,2020-11-06 14:34:53,cpu0.cha18.cod2.0xc
SERVER_5998,2020-11-01 18:18:54,cpu1.mergedcha0.cod2.0xc
SERVER_6131,2020-11-09 14:00:54,cpu1.cha21.cod2.0xc
SERVER_6288,2020-08-29 22:07:54,cpu0.cha17.cod2.0xc
SERVER_6946,2020-09-02 22:03:53,cpu1.cha17.cod2.0xc
SERVER_7664,2020-10-02 20:47:53,cpu1.cha14.cod2.0xc
SERVER_8376,2020-10-17 08:49:54,cpu1.core10.cod1.0x00800400
SERVER_9119,2020-09-12 04:07:53,cpu0.cha8.cod2.0xc
SERVER_10332,2020-09-29 18:29:54,cpu0.cha14.cod2.0xc
SERVER_11426,2020-09-26 11:45:53,cpu0.m2m1.cod2.0x1
SERVER_26584,2020-10-24 08:46:53,cpu0.m2m0.cod2.0x1
SERVER_26584,2020-11-13 05:57:54,cpu0.m2m0.cod2.0x1
SERVER_11559,2020-09-14 07:11:54,cpu0.cha1.cod2.0xc
SERVER_11930,2020-11-25 13:58:56,cpu1.m2m0.cod2.0x1
SERVER_12133,2020-11-18 18:02:53,cpu0.mergedcha0.cod2.0xc
SERVER_12734,2020-11-11 18:16:54,cpu1.core19.cod1.0x00000174
SERVER_15065,2020-09-29 09:21:53,cpu0.mergedcha0.cod2.0xb
SERVER_15260,2020-11-05 23:16:54,cpu1.pcu.cod2.0x5b
SERVER_16323,2020-10-10 14:06:54,cpu1.cha17.cod2.0xc
SERVER_26803,2020-09-10 12:11:53,cpu0.cha17.cod2.0xc
SERVER_17384,2020-11-18 16:49:54,cpu0.cha14.cod2.0xc
SERVER_17622,2020-10-03 15:44:54,cpu0.cha22.cod2.0xc
SERVER_20062,2020-10-31 23:25:53,cpu1.pcu.cod2.0x5b
SERVER_20086,2020-10-26 10:41:53,cpu1.cha4.cod2.0xc
SERVER_27052,2020-09-30 14:01:54,cpu1.core16.cod1.0x00000184
SERVER_20377,2020-09-29 18:41:54,cpu0.core8.cod1.0x00800400
SERVER_22910,2020-11-03 06:44:54,cpu0.pcu.cod2.0x52
SERVER_22956,2020-09-05 07:21:54,cpu1.core0.cod1.0x00800400
SERVER_22993,2020-09-12 05:15:53,cpu1.core18.cod1.0x00000006
SERVER_23100,2020-10-07 06:43:54,cpu1.core0.cod1.0x00400005
SERVER_27570,2020-10-24 06:03:53,cpu1.mergedcha0.cod2.0xc
SERVER_25877,2020-09-27 16:44:53,cpu1.pcu.cod2.0x0
SERVER_5944,2020-10-31 17:53:53,cpu0.cha21.cod2.0xc
SERVER_6002,2020-11-04 14:33:53,cpu0.cha1.cod2.0xc
SERVER_6277,2020-10-23 09:12:54,cpu0.imc0chn0.cod2.0x2
SERVER_6320,2020-10-16 03:43:54,cpu0.cha13.cod2.0xc
SERVER_6991,2020-11-01 09:48:54,cpu0.cha1.cod2.0xc
SERVER_10505,2020-08-29 12:55:54,cpu0.cha8.cod2.0xc
SERVER_11531,2020-10-17 20:13:54,cpu1.m2m1.cod2.0x1
SERVER_11531,2020-11-21 04:25:01,cpu1.m2m1.cod2.0x1
SERVER_26600,2020-10-15 03:16:53,cpu0.core0.cod1.0x00000006
SERVER_12097,2020-10-15 21:55:53,cpu1.m2m0.cod2.0x1
SERVER_12208,2020-11-21 03:55:02,cpu0.mergedcha0.cod2.0xc
SERVER_12500,2020-11-05 17:25:53,cpu0.pcu.cod2.0x23
SERVER_13387,2020-11-21 21:38:02,cpu0.cha0.cod2.0xc
SERVER_26678,2020-09-24 11:14:54,cpu0.core5.cod1.0x00000005
SERVER_14535,2020-08-31 07:57:53,cpu1.mergedcha0.cod2.0xc
SERVER_26712,2020-09-13 03:20:53,cpu0.cha22.cod2.0xc
SERVER_15101,2020-11-17 22:15:54,cpu1.pcu.cod2.0x0
SERVER_15454,2020-11-15 19:05:54,cpu0.core1.cod1.0x000f0150
SERVER_17144,2020-11-17 15:55:53,cpu0.cha12.cod2.0xc
SERVER_17350,2020-09-22 15:47:54,cpu0.cha8.cod2.0xc
SERVER_17464,2020-10-22 14:32:54,cpu0.cha2.cod2.0xc
SERVER_17469,2020-09-18 11:36:54,cpu0.cha0.cod2.0xc
SERVER_17596,2020-11-01 09:54:53,cpu0.cha0.cod2.0xc
SERVER_17621,2020-10-11 20:49:54,cpu1.upi2.cod2.0x12
SERVER_22933,2020-10-27 04:46:54,cpu1.cha0.cod2.0xc
SERVER_22967,2020-10-24 10:43:54,cpu0.cha0.cod2.0xc
SERVER_22972,2020-10-15 07:44:54,cpu0.cha0.cod2.0xc
SERVER_23030,2020-10-19 08:38:54,cpu0.upi0.cod2.0x1f
SERVER_23040,2020-09-10 15:01:54,cpu1.cha4.cod2.0xc
SERVER_6043,2020-09-29 23:57:53,cpu0.cha21.cod2.0xc
SERVER_6386,2020-11-04 19:24:53,cpu0.cha8.cod2.0xc
SERVER_6442,2020-09-26 22:57:53,cpu0.core1.cod1.0x00020005
SERVER_26093,2020-09-03 05:15:53,cpu1.core19.cod1.0x00000005
SERVER_7159,2020-09-01 22:29:53,cpu1.core0.cod1.0x00800400
SERVER_7246,2020-09-03 02:21:53,cpu1.cha1.cod2.0xc
SERVER_7260,2020-10-28 11:26:53,cpu0.pcu.cod2.0x5a
SERVER_26263,2020-11-18 21:27:54,cpu0.cha1.cod2.0xc
SERVER_26272,2020-08-29 08:11:54,cpu0.cha0.cod2.0xc
SERVER_12270,2020-10-11 06:42:54,cpu1.cha1.cod2.0xc
SERVER_12822,2020-10-16 01:12:53,cpu0.core12.cod1.0x00100134
SERVER_13272,2020-09-02 04:17:54,cpu1.cha25.cod2.0xf
SERVER_26704,2020-10-13 01:17:54,cpu1.cha1.cod2.0xc
SERVER_26707,2020-09-11 21:51:54,cpu0.core17.cod1.0x00000005
SERVER_26746,2020-10-09 09:02:53,cpu1.m2m1.cod2.0x20
SERVER_16790,2020-11-09 09:58:53,cpu0.upi1.cod2.0x1f
SERVER_17411,2020-10-27 14:03:53,cpu0.m2m1.cod2.0x1
SERVER_17517,2020-10-13 21:49:53,cpu0.core36.cod1.0x000f0150
SERVER_26874,2020-11-22 00:24:57,cpu1.cha19.cod2.0x18
SERVER_17584,2020-10-26 02:41:54,cpu0.pcu.cod2.0x3e
SERVER_19327,2020-11-04 17:11:54,cpu0.cha0.cod2.0xc
SERVER_20540,2020-11-10 17:37:54,cpu0.cha2.cod2.0xc
SERVER_22825,2020-10-25 08:02:54,cpu0.core6.cod1.0x00400005
SERVER_22862,2020-11-08 00:53:53,cpu0.cha1.cod2.0xc
SERVER_27434,2020-10-22 23:49:54,cpu1.cha0.cod2.0xc
SERVER_27434,2020-11-16 17:50:54,cpu1.cha6.cod2.0xc
SERVER_22935,2020-10-25 08:50:54,cpu0.imc0chn0.cod2.0x400
SERVER_23047,2020-11-03 15:51:54,cpu0.cha3.cod2.0xc
SERVER_23117,2020-09-05 07:37:54,cpu1.cha1.cod2.0xc
SERVER_27484,2020-09-10 15:51:53,cpu1.cha18.cod2.0xc
SERVER_27572,2020-09-07 08:39:54,cpu1.mergedcha0.cod2.0xc
