sn,fault_time,module_cause,module
SERVER_1310,2020-09-26 22:20:53,"module10,cod1:0x110a,cod2:0xc,addr:0x8af00000",module10
SERVER_1516,2020-10-02 11:45:54,"module8,cod1:0x91,cod2:0x101,addr:0x772c6740",module8
SERVER_1602,2020-09-14 11:54:53,"module9,cod1:0x1136,cod2:0x4,addr:0x7fba4342",module9
SERVER_1604,2020-09-14 11:58:54,"module9,cod1:0x1136,cod2:0x4,addr:0x7fba4342",module9
SERVER_1784,2020-11-02 21:43:54,"module1,cod1:0x134,cod2:0x10,addr:0x0",module1
SERVER_2253,2020-09-24 15:54:54,"module8,cod1:0x90,cod2:0x101,addr:0x2745c1c0",module8
SERVER_2866,2020-09-18 17:48:54,"module1,cod1:0x134,cod2:0x10,addr:0x5efffa6180,module1,cod1:0x134,cod2:0x10,addr:0x8b9f60500",module1
SERVER_25756,2020-10-27 10:52:54,"module0,cod1:0x5,cod2:0x3,addr:0x0",module0
SERVER_3350,2020-10-08 13:49:53,"module8,cod1:0x90,cod2:0x101,addr:0x37a92e5180",module8
SERVER_3352,2020-09-06 00:47:54,"module8,cod1:0x90,cod2:0x101,addr:0x4c9095a980",module8
SERVER_3378,2020-08-27 02:05:54,"module2,cod1:0x19,cod2:0x1,addr:0x0",module2
SERVER_3640,2020-09-27 01:27:54,"module8,cod1:0x91,cod2:0x101,addr:0x73765d6d40",module8
SERVER_3668,2020-11-11 13:35:53,"module1,cod1:0x134,cod2:0x10,addr:0x30fd815ec0",module1
SERVER_3729,2020-09-15 13:23:53,"module1,cod1:0x134,cod2:0x10,addr:0x2ba8a00a40,module7,cod1:0x90,cod2:0x101,addr:0x2ba8a00a40","module1,module7"
SERVER_4046,2020-09-22 11:42:54,"module1,cod1:0x134,cod2:0x10,addr:0xab7d28ed80,module1,cod1:0x134,cod2:0x10,addr:0xb070c04500",module1
SERVER_4046,2020-10-03 17:20:53,"module1,cod1:0x134,cod2:0x10,addr:0x803dcf8d00",module1
SERVER_4320,2020-10-11 18:45:54,"module1,cod1:0x134,cod2:0x10,addr:0x1fa5d72440,module1,cod1:0x134,cod2:0x10,addr:0x5f83c4c4c0",module1
SERVER_4360,2020-11-07 14:46:54,"module11,cod1:0x110a,cod2:0xc,addr:0x82c00000",module11
SERVER_25789,2020-10-16 09:56:53,"port a,nointerpretableerrordata,module11,cod1:0x110a,cod2:0xc,addr:0x398004815000","port a,module11"
SERVER_4556,2020-09-10 07:33:54,"module1,cod1:0x134,cod2:0x10,addr:0x5f95054300",module1
SERVER_4556,2020-09-10 07:33:54,"module1,cod1:0x134,cod2:0x10,addr:0x5f95054300,module8,cod1:0x91,cod2:0x101,addr:0x5f95054300","module1,module8"
SERVER_4658,2020-11-05 18:48:53,"module1,cod1:0x134,cod2:0x10,addr:0x37ae4d4840",module1
SERVER_4735,2020-09-28 11:15:54,"module1,cod1:0x134,cod2:0x10,addr:0x207ac57480,module1,cod1:0x134,cod2:0x10,addr:0x207ac75a80,module7,cod1:0x92,cod2:0x101,addr:0x207ac57480,module7,cod1:0x92,cod2:0x101,addr:0x207ac75a80","module1,module7"
SERVER_4754,2020-09-01 18:47:54,"module9,cod1:0x110a,cod2:0xc,addr:0xee501000,module9,cod1:0x110a,cod2:0xc,addr:0xee681000",module9
SERVER_4792,2020-11-07 18:56:54,"port a,nointerpretableerrordata,module8,cod1:0x91,cod2:0x101,addr:0x4d2a531780","port a,module8"
SERVER_4818,2020-09-16 11:57:54,"module1,cod1:0x134,cod2:0x10,addr:0x3de3855440,module7,cod1:0x90,cod2:0x101,addr:0x3de3855440","module1,module7"
SERVER_4898,2020-09-07 06:17:54,"module1,cod1:0x134,cod2:0x10,addr:0x3839433180,module8,cod1:0x90,cod2:0x101,addr:0x3839433180","module1,module8"
SERVER_5048,2020-11-21 10:00:02,"module1,cod1:0x134,cod2:0x10,addr:0x16be05200",module1
SERVER_5054,2020-11-10 09:59:54,"module4,cod1:0x400,cod2:0x80,addr:0x43c99c",module4
SERVER_5105,2020-10-16 15:20:54,"module9,cod1:0x110a,cod2:0xc,addr:0xee501000",module9
SERVER_5147,2020-09-02 07:29:53,"module9,cod1:0x110a,cod2:0xc,addr:0xee501000",module9
SERVER_5151,2020-11-19 18:13:58,"module9,cod1:0x110a,cod2:0xc,addr:0xee501000",module9
SERVER_5185,2020-09-13 12:36:54,"module0,cod1:0x150,cod2:0xc,addr:0xd7013e180,module8,cod1:0x90,cod2:0x101,addr:0x2d6b03e900,module8,cod1:0x90,cod2:0x101,addr:0xd7013e180","module0,module8"
SERVER_25839,2020-10-22 14:26:53,"module9,cod1:0x110a,cod2:0xc,addr:0x84150080",module9
SERVER_5369,2020-09-29 11:50:53,"module1,cod1:0x134,cod2:0x10,addr:0xdd7237280,module7,cod1:0x90,cod2:0x101,addr:0xdd7237280","module1,module7"
SERVER_5414,2020-09-20 06:41:53,"module1,cod1:0x134,cod2:0x10,addr:0x0,module7,cod1:0x92,cod2:0x101,addr:0x94028c3c00","module1,module7"
SERVER_5440,2020-10-27 14:46:53,"module1,cod1:0x134,cod2:0x10,addr:0x51a290b8c0,module7,cod1:0x91,cod2:0x101,addr:0x51a290b8c0","module1,module7"
SERVER_5452,2020-11-22 04:42:02,"module0,cod1:0x5,cod2:0x2,addr:0x0",module0
SERVER_25907,2020-09-15 13:05:54,"module1,cod1:0x134,cod2:0x10,addr:0x170b31edc0,module1,cod1:0x134,cod2:0x10,addr:0x170b31f9c0,module8,cod1:0x92,cod2:0x101,addr:0x170b3181c0,module8,cod1:0x92,cod2:0x101,addr:0x170b31f9c0","module1,module8"
SERVER_5730,2020-10-25 10:47:53,"module1,cod1:0x134,cod2:0x10,addr:0xbef708a0c0,module7,cod1:0x92,cod2:0x101,addr:0xbef708a0c0","module1,module7"
SERVER_5732,2020-11-05 16:32:54,"module1,cod1:0x134,cod2:0x10,addr:0x27a8a9ba40,module7,cod1:0x91,cod2:0x101,addr:0x8817c23240","module1,module7"
SERVER_5748,2020-11-05 11:58:54,"module1,cod1:0x134,cod2:0x10,addr:0x415d20e080,module7,cod1:0x90,cod2:0x101,addr:0x415d20e080","module1,module7"
SERVER_5907,2020-10-13 22:47:53,"module1,cod1:0x134,cod2:0x10,addr:0x0,module8,cod1:0x91,cod2:0x101,addr:0x40b4931540","module1,module8"
SERVER_5954,2020-10-18 09:07:54,"module1,cod1:0x174,cod2:0x0,addr:0x0",module1
SERVER_5966,2020-11-23 11:38:02,"module1,cod1:0x134,cod2:0x10,addr:0x32ce0fb800,module7,cod1:0x90,cod2:0x101,addr:0x32ce0fb800","module1,module7"
SERVER_6102,2020-10-10 06:37:55,"module4,cod1:0x400,cod2:0x80,addr:0x4a783e",module4
SERVER_25997,2020-10-20 10:54:53,"module4,cod1:0x400,cod2:0x80,addr:0x7f7e64dd80a0",module4
SERVER_6313,2020-10-29 03:42:54,"module1,cod1:0x134,cod2:0x10,addr:0x5c5760c740,module8,cod1:0x91,cod2:0x101,addr:0x5c5760c740","module1,module8"
SERVER_6329,2020-09-27 13:38:53,"module1,cod1:0x134,cod2:0x10,addr:0x6fd40ad980,module8,cod1:0x90,cod2:0x101,addr:0x6fd40ad980","module1,module8"
SERVER_6372,2020-10-28 10:05:53,"module1,cod1:0x134,cod2:0x10,addr:0x492a39a0c0",module1
SERVER_6453,2020-10-15 06:27:54,"module1,cod1:0x134,cod2:0x10,addr:0xb5b13d3240",module1
SERVER_6569,2020-09-06 18:31:53,"module4,cod1:0x400,cod2:0x80,addr:0x7fbb5e568fb0",module4
SERVER_6616,2020-11-14 21:24:53,"module1,cod1:0x134,cod2:0x10,addr:0x115834e180",module1
SERVER_6713,2020-08-31 23:25:54,"module1,cod1:0x134,cod2:0x10,addr:0x72f7fd2300,module8,cod1:0x90,cod2:0x101,addr:0x72f7fd2300","module1,module8"
SERVER_6806,2020-11-13 13:59:53,"module1,cod1:0x184,cod2:0x0,addr:0x2309e4a380",module1
SERVER_6962,2020-09-02 05:53:54,"module1,cod1:0x124,cod2:0x0,addr:0x21d7c1bb00",module1
SERVER_7074,2020-09-07 14:55:54,"module9,cod1:0x110a,cod2:0xc,addr:0xee681000",module9
SERVER_7124,2020-09-12 14:05:53,"port a,nointerpretableerrordata,module1,cod1:0x134,cod2:0x10,addr:0x4093c5ac80,module1,cod1:0x134,cod2:0x10,addr:0x40bdc21c00,module7,cod1:0x91,cod2:0x101,addr:0x4093c5ac80,module7,cod1:0x91,cod2:0x101,addr:0x40bc450480","port a,module1,module7"
SERVER_7134,2020-11-14 15:16:54,"module1,cod1:0x134,cod2:0x10,addr:0x29f2802580,module1,cod1:0x134,cod2:0x10,addr:0x2e194f2580,module1,cod1:0x134,cod2:0x10,addr:0x2f125225c0,module1,cod1:0x134,cod2:0x10,addr:0x4428c2580,module8,cod1:0x91,cod2:0x101,addr:0x25a3b2c1c0,module8,cod1:0x91,cod2:0x101,addr:0x29f2802580,module8,cod1:0x91,cod2:0x101,addr:0x2e194f2580,module8,cod1:0x91,cod2:0x101,addr:0x2e4f404980,module8,cod1:0x91,cod2:0x101,addr:0x2f125225c0,module8,cod1:0x91,cod2:0x101,addr:0x4428c2580","module1,module8"
SERVER_7141,2020-09-13 08:20:53,"module10,cod1:0x110a,cod2:0xc,addr:0x8ca00000",module10
SERVER_7141,2020-09-25 12:50:53,"module10,cod1:0x110a,cod2:0xc,addr:0x8ca00000",module10
SERVER_7209,2020-11-18 12:38:54,"module1,cod1:0x134,cod2:0x10,addr:0x1b6f45f6c0,module7,cod1:0x91,cod2:0x101,addr:0x1b6f45f6c0","module1,module7"
SERVER_7213,2020-09-20 06:41:53,"module1,cod1:0x134,cod2:0x10,addr:0x5eee0ff040,module7,cod1:0x90,cod2:0x101,addr:0x5eee0ff040","module1,module7"
SERVER_7216,2020-09-04 03:09:53,"module0,cod1:0x5,cod2:0x0,addr:0x0",module0
SERVER_7270,2020-08-29 17:43:53,"module9,cod1:0x1136,cod2:0x4,addr:0x7032bbc3",module9
SERVER_7280,2020-10-08 23:42:53,"port c,nointerpretableerrordata,module1,cod1:0x134,cod2:0x10,addr:0x7408466780,module8,cod1:0x91,cod2:0x101,addr:0x7408466780","port c,module1,module8"
SERVER_7301,2020-09-01 13:51:53,"module1,cod1:0x174,cod2:0x0,addr:0x0",module1
SERVER_26194,2020-10-03 13:22:54,"module9,cod1:0x17a,cod2:0xc,addr:0xa6101000",module9
SERVER_7330,2020-10-18 01:34:53,"module1,cod1:0x134,cod2:0x10,addr:0x9a2faac8c0",module1
SERVER_7330,2020-10-18 01:34:53,"module1,cod1:0x134,cod2:0x10,addr:0xda2fb6c040,module1,cod1:0x134,cod2:0x10,addr:0xfa2fa26a40",module1
SERVER_26205,2020-10-06 13:38:54,"module1,cod1:0x134,cod2:0x10,addr:0x2fe7604e00",module1
SERVER_26205,2020-10-06 13:38:54,"module1,cod1:0x134,cod2:0x10,addr:0x2fe7604e00,module7,cod1:0x91,cod2:0x101,addr:0x2fe7604e00","module1,module7"
SERVER_26215,2020-11-18 11:05:54,"module10,cod1:0x17a,cod2:0xc,addr:0x110008403000,module9,cod1:0x17a,cod2:0xc,addr:0xa1c00000","module10,module9"
SERVER_7506,2020-10-01 04:57:54,"module1,cod1:0x134,cod2:0x10,addr:0xd5e4f1900,module8,cod1:0x91,cod2:0x101,addr:0xd5e4f1900","module1,module8"
SERVER_7617,2020-09-27 06:20:54,"module4,cod1:0x400,cod2:0x80,addr:0xffffffff81719c8b",module4
SERVER_7627,2020-08-29 04:23:54,"module1,cod1:0x134,cod2:0x10,addr:0x69304ab80,module1,cod1:0x134,cod2:0x10,addr:0x6abc6af80,module8,cod1:0x91,cod2:0x101,addr:0x69304ab80","module1,module8"
SERVER_7847,2020-10-11 02:00:54,"module10,cod1:0x405,cod2:0x1f,addr:0x191ffab680,module11,cod1:0x110a,cod2:0xc,addr:0x4025f00,module11,cod1:0x110a,cod2:0xc,addr:0x47eb98a480,module14,cod1:0x405,cod2:0x400,addr:0x191ffab680,module3,cod1:0x400,cod2:0x80,addr:0x6c24ea7900,module3,cod1:0x400,cod2:0x80,addr:0x7fd7a3494987,module4,cod1:0x400,cod2:0x80,addr:0x7fb70455,module4,cod1:0x400,cod2:0x80,addr:0xffffffff813be159,module9,cod1:0x110a,cod2:0xc,addr:0x2a43f8e9c0,module9,cod1:0x110a,cod2:0xc,addr:0x7f56752980","module10,module11,module14,module3,module4,module9"
SERVER_7869,2020-08-29 11:05:53,"module1,cod1:0x134,cod2:0x10,addr:0x7f1b4fc0,module8,cod1:0x92,cod2:0x101,addr:0x7f1b4fc0","module1,module8"
SERVER_7869,2020-08-29 11:05:53,"port a,nointerpretableerrordata,module1,cod1:0x134,cod2:0x10,addr:0x5f75019b40","port a,module1"
SERVER_7938,2020-08-27 17:07:53,"module1,cod1:0x134,cod2:0x10,addr:0x4c501680",module1
SERVER_7983,2020-09-05 14:31:54,"module1,cod1:0x134,cod2:0x10,addr:0x74f0319ec0,module7,cod1:0x91,cod2:0x101,addr:0x74f0319ec0","module1,module7"
SERVER_8174,2020-11-02 02:48:54,"module1,cod1:0x134,cod2:0x10,addr:0x4c4e1680",module1
SERVER_8204,2020-10-29 08:06:53,"module2,cod1:0x19,cod2:0x1,addr:0x0",module2
SERVER_26326,2020-08-27 13:19:54,"module11,cod1:0x110a,cod2:0xc,addr:0x2040,module4,cod1:0x400,cod2:0x80,addr:0xffffffff81320eea","module11,module4"
SERVER_8323,2020-10-25 22:35:54,"module0,cod1:0x5,cod2:0x3,addr:0x0",module0
SERVER_8386,2020-09-22 20:54:53,"module1,cod1:0x134,cod2:0x10,addr:0x3854f7fb80",module1
SERVER_8399,2020-10-29 20:27:54,"module1,cod1:0x134,cod2:0x10,addr:0x7d6b907300",module1
SERVER_8416,2020-09-24 05:47:54,"module10,cod1:0x110a,cod2:0xb,addr:0x22b2f0aa40,module10,cod1:0x110a,cod2:0xc,addr:0x7fb6cb00,module11,cod1:0x110a,cod2:0xb,addr:0x3824deaac0,module11,cod1:0x110a,cod2:0xc,addr:0x4d35af06c0,module13,cod1:0x405,cod2:0x2,addr:0x0,module3,cod1:0x400,cod2:0x80,addr:0x7fb3a180,module3,cod1:0x400,cod2:0x80,addr:0x7fb58000,module4,cod1:0x400,cod2:0x80,addr:0x7f20004c5f1c,module9,cod1:0x110a,cod2:0xc,addr:0x7fb5c9c0,module9,cod1:0x405,cod2:0xa,addr:0x159de46300","module10,module11,module13,module3,module4,module9"
SERVER_8453,2020-09-03 14:13:54,"module1,cod1:0x134,cod2:0x10,addr:0x0,module7,cod1:0x90,cod2:0x101,addr:0x4938dba4c0","module1,module7"
SERVER_8485,2020-11-10 10:31:54,"module4,cod1:0x402,cod2:0x6800,addr:0x0",module4
SERVER_8519,2020-09-24 00:55:54,"port a,nointerpretableerrordata,module1,cod1:0x134,cod2:0x10,addr:0x362b9e2d80,module8,cod1:0x91,cod2:0x101,addr:0x362b9e2d80","port a,module1,module8"
SERVER_8622,2020-10-04 09:55:54,"module9,cod1:0x1136,cod2:0x4,addr:0x72f29b80",module9
SERVER_8622,2020-10-20 17:44:53,"module10,cod1:0x1136,cod2:0x4,addr:0x72616000",module10
SERVER_8676,2020-10-20 18:24:53,"module1,cod1:0x134,cod2:0x10,addr:0x3d9c937100,module1,cod1:0x134,cod2:0x10,addr:0x3f43901d80,module8,cod1:0x90,cod2:0x101,addr:0x3f43901d80","module1,module8"
SERVER_8734,2020-10-31 18:51:54,"module1,cod1:0x134,cod2:0x10,addr:0x2808aeba80,module7,cod1:0x90,cod2:0x101,addr:0x2808aeba80","module1,module7"
SERVER_8797,2020-10-26 16:45:54,"module1,cod1:0x134,cod2:0x10,addr:0x5c10929040,module7,cod1:0x92,cod2:0x101,addr:0x5c10929040","module1,module7"
SERVER_8823,2020-09-05 07:53:53,"module1,cod1:0x134,cod2:0x10,addr:0xd9f6b6b40",module1
SERVER_8836,2020-11-11 07:43:54,"module1,cod1:0x114,cod2:0x0,addr:0x5e55c53ec0",module1
SERVER_8980,2020-10-01 05:16:54,"module1,cod1:0x134,cod2:0x10,addr:0x164c945c40,module1,cod1:0x134,cod2:0x10,addr:0x1672a09440,module7,cod1:0x91,cod2:0x101,addr:0x164c945c40,module7,cod1:0x91,cod2:0x101,addr:0x1672a09440","module1,module7"
SERVER_9041,2020-08-31 11:45:54,"module7,cod1:0x92,cod2:0x101,addr:0xbd6f452c00",module7
SERVER_9171,2020-08-28 18:21:53,"module4,cod1:0x402,cod2:0x6800,addr:0x0",module4
SERVER_9335,2020-08-29 17:25:54,"module1,cod1:0x134,cod2:0x10,addr:0x2507743980,module8,cod1:0x90,cod2:0x101,addr:0x2507743980","module1,module8"
SERVER_9440,2020-09-28 17:13:54,"module1,cod1:0x134,cod2:0x10,addr:0x69b6108fc0,module1,cod1:0x134,cod2:0x10,addr:0x69ef0a9b40,module8,cod1:0x92,cod2:0x101,addr:0x69b6108fc0","module1,module8"
SERVER_9469,2020-11-17 00:55:54,"module1,cod1:0x134,cod2:0x10,addr:0x3209c84940,module8,cod1:0x92,cod2:0x101,addr:0x3209c84940","module1,module8"
SERVER_26492,2020-11-25 11:03:00,"module10,cod1:0x110a,cod2:0xc,addr:0x70ef30c0,module11,cod1:0x110a,cod2:0xc,addr:0x70ef3040,module7,cod1:0x400,cod2:0x20,addr:0x0,module9,cod1:0x110a,cod2:0xc,addr:0x70ef3000","module10,module11,module7,module9"
SERVER_9560,2020-11-16 10:37:54,"module1,cod1:0x134,cod2:0x10,addr:0xa01455980,module8,cod1:0x91,cod2:0x101,addr:0xa01455980","module1,module8"
SERVER_9634,2020-11-17 06:17:54,"module1,cod1:0x134,cod2:0x10,addr:0xb72c2a0a00,module7,cod1:0x90,cod2:0x101,addr:0x343c62c0,module7,cod1:0x90,cod2:0x101,addr:0xb72c2a0a00","module1,module7"
SERVER_9675,2020-09-14 04:00:54,"module1,cod1:0x134,cod2:0x10,addr:0x39e5a3bd80,module8,cod1:0x92,cod2:0x101,addr:0x39e5a3bd80","module1,module8"
SERVER_9678,2020-10-08 01:38:54,"module1,cod1:0x134,cod2:0x10,addr:0x1c116d6a00",module1
SERVER_9678,2020-10-23 19:02:54,"module1,cod1:0x134,cod2:0x10,addr:0x6ff4a000",module1
SERVER_10108,2020-11-05 04:34:53,"module3,cod1:0x400,cod2:0x80,addr:0x564a654b3f20,module4,cod1:0x400,cod2:0x80,addr:0x564a654b3f20","module3,module4"
SERVER_26527,2020-10-15 15:53:53,"module8,cod1:0x92,cod2:0x101,addr:0x25a37485c0",module8
SERVER_10180,2020-09-14 08:22:53,"module1,cod1:0x134,cod2:0x10,addr:0x0,module8,cod1:0x90,cod2:0x101,addr:0x1ab420b3c0","module1,module8"
SERVER_10227,2020-10-19 00:50:54,"module1,cod1:0x134,cod2:0x10,addr:0x2d0ddbf340,module8,cod1:0x91,cod2:0x101,addr:0x2d0ddbf340","module1,module8"
SERVER_26532,2020-10-17 16:38:54,"module0,cod1:0x5,cod2:0xe,addr:0x0",module0
SERVER_10333,2020-09-14 15:10:53,"port a,nointerpretableerrordata,module1,cod1:0x134,cod2:0x10,addr:0x9190cccc0,module7,cod1:0x90,cod2:0x101,addr:0x9190cccc0","port a,module1,module7"
SERVER_10448,2020-09-18 20:17:54,"module9,cod1:0x110a,cod2:0xc,addr:0xee501000",module9
SERVER_10459,2020-10-01 05:26:54,"module1,cod1:0x134,cod2:0x10,addr:0x0,module7,cod1:0x92,cod2:0x101,addr:0x4b0cc2040","module1,module7"
SERVER_10466,2020-10-02 08:49:54,"module1,cod1:0x134,cod2:0x10,addr:0x56f4864400,module7,cod1:0x90,cod2:0x101,addr:0x56f4864400","module1,module7"
SERVER_10473,2020-10-07 07:03:54,"module3,cod1:0x400,cod2:0x80,addr:0x7f945563bfdf,module4,cod1:0x400,cod2:0x80,addr:0x7f945563bfdf","module3,module4"
SERVER_10476,2020-09-01 23:23:54,"module1,cod1:0x134,cod2:0x10,addr:0x8040246140",module1
SERVER_10478,2020-09-18 16:43:54,"module9,cod1:0x110a,cod2:0xc,addr:0xee501000",module9
SERVER_10480,2020-11-01 23:46:53,"module1,cod1:0x134,cod2:0x10,addr:0x0,module7,cod1:0x90,cod2:0x101,addr:0x3002d3a4c0","module1,module7"
